Symbol,Strategy,Fast,Slow,Total Return %,Sharpe Ratio,Max Drawdown %,Trades,Win Rate %
MSTR,DualMa,5,10,17.976618291733182,2.8372843263436938,-0.8162909993352662,579,0.0
TSLA,DualMa,5,10,17.28410712670898,2.781220691011429,-2.0726542787240683,573,0.0
MSTR,DualMa,10,20,7.4535116485046515,1.1525341662258644,-1.4963747641351768,293,0.0
TSLA,DualMa,10,20,6.61277821520081,1.044052923945978,-1.9111476337555402,315,0.0
TSLA,DualMa,20,60,6.495342984454355,0.989020950554532,-2.8355537149380043,115,0.0
SPY,DualMa,5,10,6.478158665169231,1.9677839252454987,-0.5069404026704059,621,0.0
AAPL,DualMa,5,10,6.1243153757564395,3.0017901726636844,-0.33662331868579604,581,0.0
MSTR,DualMa,20,60,5.1529138122436535,0.7803784673659544,-1.4731684144204389,103,0.0
NVDA,DualMa,5,10,3.177690901021313,1.7520057297636833,-0.281830698130115,563,0.0
AAPL,DualMa,10,20,2.3544121611116298,1.1065028212651609,-0.7486720270562529,287,0.0
SPY,DualMa,20,60,1.9069683606249832,0.5680172217248454,-1.1198988817154256,93,0.0
SPY,DualMa,10,20,1.581578131568584,0.4745323139061112,-0.8840683690756763,295,0.0
NVDA,DualMa,20,60,1.0752746114149003,0.5773367599734467,-0.9153445143085833,93,0.0
NVDA,DualMa,10,20,1.0183662821147133,0.5481721829731793,-0.760483309398467,303,0.0
AAPL,DualMa,20,60,0.5361383377674,0.2537422986217437,-1.1421892089277341,101,0.0
SPY,DualMa,50,200,0.0,0.0,0.0,0,0.0
NVDA,DualMa,50,200,0.0,0.0,0.0,0,0.0
MSTR,DualMa,50,200,0.0,0.0,0.0,0,0.0
TSLA,DualMa,50,200,0.0,0.0,0.0,0,0.0
AAPL,DualMa,50,200,0.0,0.0,0.0,0,0.0
