code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.1061,FALCONS BEYOND GLOBAL INC COM USD0.0001 CLASS A,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84331683075112,False,N/A,False,,US_NASDAQ
US.2578256D,WW International Inc,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87028922567455,False,N/A,False,,US_PINK
US.2618996D,BitVentures,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,87862146225305,False,N/A,False,,US_NASDAQ
US.A,安捷伦科技,1,STOCK,N/A,,N/A,,N/A,N/A,1999-11-17,204747,False,N/A,False,,US_NYSE
US.AA,美国铝业公司,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205871,False,N/A,False,,US_NYSE
US.AABB,ASIA BROADBAND INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512227,False,N/A,False,,US_PINK
US.AAC.WS,ARES ACQUISITION CORP C/WTS (TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,81247896563552,False,N/A,False,,US_NYSE
US.AACAY,瑞声科技(ADR),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,214631,False,N/A,False,,US_PINK
US.AACB,Artius II Acquisition Inc,1,STOCK,N/A,,N/A,,N/A,N/A,2025-04-07,86689620150050,False,N/A,False,,US_NASDAQ
US.AACBR,ARTIUS II ACQUISITION INC COM USD0.0001 CL A (SUB/RIGHTS)27/11/29,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86689620150051,False,N/A,False,,US_NASDAQ
US.AACBU,ARTIUS II ACQUISITION INC UNIT 1 COM & RT (27/11/2029),1,STOCK,N/A,,N/A,,N/A,N/A,2025-02-13,86461986882734,False,N/A,False,,US_NASDAQ
US.AACG,ATA Creativity Global,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78103980495170,False,N/A,False,,US_NASDAQ
US.AACOU,ADVANCIT ACQUISITION CORP I UNIT 1 CL A & 1/3 WT EXP(25/02/2026),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80380313165124,False,N/A,False,,US_NASDAQ
US.AAGC,ALL AMERICAN GOLD CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84653805638038,False,N/A,False,,US_PINK
US.AAGH,AMERICA GREAT HEALTH,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512374,False,N/A,False,,US_PINK
US.AAGIY,友邦保险(ADR),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,214740,False,N/A,False,,US_PINK
US.AAGR,African Agriculture,1,STOCK,N/A,,N/A,,N/A,N/A,2021-10-01,84597971063053,False,N/A,False,,US_PINK
US.AAGRW,AFRICAN AGRICULTURE HOLDINGS INC C/WTS 06/12/2028 (TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84597971063054,False,N/A,False,,US_PINK
US.AAGRY,ASTRA AGRO LESTARI TBK UNSP ADR EA REPR 5 SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273681,False,N/A,False,,US_PINK
US.AAIC.PRB,ARLINGTON ASSET INVESTMENT CORP 7% CUM PRF 12/05/2022 SER B USD25,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83704617860955,False,N/A,False,,US_NYSE
US.AAIC.PRC,ARLINGTON ASSET INVESTMENT CORP 8.250%CUM RED FIX TO FLT RATE SR C USD25,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258980,False,N/A,False,,US_NYSE
